step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,bottom0_stopped,bottom0_accumulated_waiting_time,bottom0_average_speed,bottom1_stopped,bottom1_accumulated_waiting_time,bottom1_average_speed,left0_stopped,left0_accumulated_waiting_time,left0_average_speed,left1_stopped,left1_accumulated_waiting_time,left1_average_speed,right0_stopped,right0_accumulated_waiting_time,right0_average_speed,right1_stopped,right1_accumulated_waiting_time,right1_average_speed,top0_stopped,top0_accumulated_waiting_time,top0_average_speed,top1_stopped,top1_accumulated_waiting_time,top1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
220.0,69,7019.0,89.98717948717949,1.2798342808933343,23,2210.0,0.07943380858440548,16,1228.0,0.0298245288427912,18,2274.0,0.023823885005136516,12,1318.0,0.1363387905439011,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9675908687742614,69,7030.0
225.0,69,7357.0,93.12658227848101,1.1384474630481665,22,2320.0,0.08610563425403507,17,1310.0,0.010352491151835765,18,2364.0,0.008439509134653538,12,1378.0,0.19471965528998234,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.21301001565405384,69,7372.0
230.0,71,7710.0,96.375,1.2396724232889664,23,2434.0,0.03959533013233775,17,1395.0,0.09422833633345298,19,2458.0,0.049748188155635406,12,1438.0,0.1392737894884694,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9679941796263325,71,7725.0
235.0,72,8069.0,98.40243902439025,1.2300423806624379,23,2549.0,0.03142958052414411,18,1484.0,0.04745547500333392,19,2553.0,0.14110154876983577,12,1498.0,0.07598713769178501,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,72,8084.0
240.0,73,8434.0,101.6144578313253,1.2038683263937184,23,2664.0,0.0,19,1579.0,0.04598149940488748,19,2648.0,0.16514868454757026,12,1558.0,0.07436420887427188,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,73,8449.0
245.0,74,8801.0,103.54117647058824,1.1690864639333103,23,2779.0,0.061474805472916554,19,1674.0,0.013995738806231428,20,2745.0,0.09953799820764218,12,1618.0,0.07554904287873121,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,74,8816.0
250.0,75,9175.0,106.68604651162791,1.1080955119623683,23,2894.0,0.04011341356446139,19,1769.0,0.051412703394948966,21,2849.0,0.10087990270547285,12,1678.0,0.10164754967357388,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9975266940217629,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,75,9190.0
255.0,78,9561.0,108.64772727272727,1.3238867732608313,24,3014.0,1.7236684887454042e-06,20,1868.0,0.06283921581886817,22,2956.0,0.09750274383242509,12,1738.0,0.22559173674637625,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,78,9576.0
260.0,78,9951.0,110.56666666666666,1.3269940008919021,24,3134.0,0.0,20,1968.0,0.0622343288379077,22,3066.0,0.08207314333026228,12,1798.0,0.22488378928837252,0,0.0,1.0,0,0.0,0.9145251102184512,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,78,9966.0
265.0,80,10351.0,112.51086956521739,1.4751282843924753,24,3254.0,0.011981829225856125,21,2073.0,0.18672854683775478,22,3176.0,0.07525684409047818,13,1863.0,0.12319193624276084,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3312905721525071,80,10366.0
